# Region type : patch outlet
# Faces       : 72
# Area        : 2.412500e-01
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(U)
0             	(0.000000e+00 0.000000e+00 0.000000e+00)
500           	(2.825678e+00 -7.475018e-02 -3.316023e-20)
1000          	(3.082911e+00 -1.140837e-01 3.798877e-21)
1500          	(3.223539e+00 7.095483e-01 -1.156968e-23)
2000          	(3.185505e+00 2.617459e-01 1.366034e-20)
2500          	(3.169597e+00 3.284572e-01 -1.127502e-21)
3000          	(3.250834e+00 2.086522e-01 1.150749e-20)
3500          	(3.122718e+00 -3.614308e-02 -2.343532e-21)
4000          	(3.061430e+00 -4.410931e-01 1.398489e-20)
4500          	(3.424297e+00 5.255413e-02 -4.294644e-21)
5000          	(3.215964e+00 6.471059e-02 -5.676957e-22)
