# Wall shear stress
# Time        	patch         	min           	max           
500           	wall	(-2.609368e+00 -7.644825e+00 -2.611157e-18)	(4.915793e+00 4.273291e+00 1.925878e-18)
1000          	wall	(-2.999137e+00 -9.093283e+00 -2.900648e-18)	(6.339250e+00 2.246028e+00 4.587534e-18)
1500          	wall	(-3.394093e+00 -1.000128e+01 -3.130044e-18)	(6.767839e+00 6.047315e+00 5.298540e-18)
2000          	wall	(-3.463208e+00 -1.037303e+01 -2.516477e-18)	(7.618238e+00 6.899299e+00 5.330172e-18)
2500          	wall	(-3.517835e+00 -1.057876e+01 -2.584159e-18)	(7.744784e+00 4.185481e+00 5.479172e-18)
3000          	wall	(-3.610589e+00 -1.080290e+01 -2.348190e-18)	(7.761452e+00 6.027925e+00 5.501283e-18)
3500          	wall	(-3.599725e+00 -1.079896e+01 -2.379080e-18)	(7.563787e+00 4.317872e+00 5.515448e-18)
4000          	wall	(-3.639974e+00 -1.083746e+01 -3.732007e-18)	(7.215329e+00 1.934387e+00 5.551835e-18)
4500          	wall	(-3.740808e+00 -1.101447e+01 -2.196169e-18)	(6.903677e+00 4.562663e+00 5.843258e-18)
5000          	wall	(-3.712326e+00 -1.099282e+01 -2.918324e-18)	(6.885007e+00 6.574103e+00 5.854908e-18)
